"DealerName","DealerGuid","DealerId","Website","Domain","AntalBiler"
"Mercedes-Benz Starmark Roskilde","7dea0e2b-689c-e711-a987-0050568635ef","12175","https://www.starmark.dk/","starmark.dk","17"
"Van Mossel Hørsholm","262c79bd-7c40-e711-9d69-0050568635ef","12058","https://www.vanmossel.dk/","vanmossel.dk","17"
"Bjarne Nielsen A/S","202871b5-ffca-df11-9e98-0025b3e6b7d8","2714","https://www.bn.dk/","bn.dk","17"
"Autohuset Ballerup A/S","095e00d5-9983-ea11-b2f4-0050568635ef","13031","https://leasevarebil.dk/","leasevarebil.dk","16"
"Ejner Hessel Slagelse","42808804-e60c-e011-90d0-0025b3e6b7d8","8916","https://www.hessel.dk/","hessel.dk","16"
"Bilnord","57d2d29b-fdca-df11-9e98-0025b3e6b7d8","6808","https://www.bilnord.dk","bilnord.dk","16"
"Silkeborg Autokommission ApS","ac69d173-4d0c-e111-af35-d8d385a4b8b6","10268","https://www.kjellerupbiler.dk/","kjellerupbiler.dk","16"
"Volkswagen Odense - en del af Semler Mobility","b86569bb-ffca-df11-9e98-0025b3e6b7d8","1950","https://www.semlermobility.dk/find-bil/?brands=volkswagen&utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=vw-odense","semlermobility.dk","15"
"Auto-Centrum ApS","ba6569bb-ffca-df11-9e98-0025b3e6b7d8","1952","http://www.autocentrum-odense.dk/","autocentrum-odense.dk","15"
"RAF Motors A/S","1c2671b5-ffca-df11-9e98-0025b3e6b7d8","2316","https://www.rafmotors.dk/","rafmotors.dk","14"
"Lokal Auto ApS","898a47ea-e7d7-ea11-bcc8-0050568635ef","13144","https://lokalauto.dk/","lokalauto.dk","14"
"JHS Biler ApS","309320ca-da96-445e-a799-aff28a1f5710","20965","https://www.jhs-biler.dk/","jhs-biler.dk","14"
"Jens P Buch Biler A/S","912471b5-ffca-df11-9e98-0025b3e6b7d8","2350","http://www.jenspbuchbiler.dk/","jenspbuchbiler.dk","14"
"EV Danmark ApS","f2c79928-7ed8-47a4-83d8-162502796cd5","22109",,"","14"
"Bjarne Nielsen A/S","9d0ad3f1-8fa2-e611-8abf-0050568635ef","11868","https://www.bn.dk/","bn.dk","13"
"MB Cars Aps","7174a689-3ec7-4716-8741-c2755b8cbdea","20661","https://www.mbcars.dk/","mbcars.dk","13"
"Bilhuset Roskilde","25ef03bc-e8c7-e911-936f-0050568635ef","12824","https://www.bilhusetroskilde.dk","bilhusetroskilde.dk","13"
"Kraft Biler Erhverv A/S","23b1a6bf-fdca-df11-9e98-0025b3e6b7d8","7411","https://www.kraftbiler.com/","kraftbiler.com","13"
"Bjarne Nielsen A/S","7893ff71-fdca-df11-9e98-0025b3e6b7d8","2148","https://www.bn.dk/","bn.dk","13"
"Nordgårdens Automobiler ApS","7b9588f5-1b93-41e1-b000-1946c80db49b","20091",,"","13"
"Dansk Bilimport ApS","21afbd1d-8f25-e711-b515-0050568635ef","12024","http://www.dansk-bilimport.dk/","dansk-bilimport.dk","12"
"MALNBILER ApS","9d1a2132-9752-4457-943a-ec2ca35a5b38","20736","https://malnbiler.dk/","malnbiler.dk","12"
"AI Biler ApS","244d6bfc-65eb-ea11-bcc8-0050568635ef","13178","https://www.a1biler.dk/","a1biler.dk","12"
"NELTOFT GRUPPEN.DK","9433d895-fdca-df11-9e98-0025b3e6b7d8","6740","https://www.neltoft-gruppen.dk/","neltoft-gruppen.dk","12"
"Tønder Bilcentrum ApS","202298db-d180-eb11-9499-0050568635ef","13363","http://www.tonderbilcentrum.dk/","tonderbilcentrum.dk","12"
"Flexlease.nu Odense A/S","23889597-ffca-df11-9e98-0025b3e6b7d8","9236","https://www.flexlease.nu/","flexlease.nu","12"
"Leif Nielsen Jensen A/S","62f14830-fdca-df11-9e98-0025b3e6b7d8","1654","http://www.leifnielsenjensen.dk/","leifnielsenjensen.dk","12"
"Agilease A/S","06b92e3d-feca-df11-9e98-0025b3e6b7d8","9201","https://www.agilease.dk/","agilease.dk","12"
"Ejner Hessel - Nakskov","4a59d277-3663-4711-ab77-e05e57f9d60b","20568","https://www.hessel.dk/","hessel.dk","12"
"Autohuset Vestergaard A/S","1af14830-fdca-df11-9e98-0025b3e6b7d8","2348","https://www.autohuset-vestergaard.dk/","autohuset-vestergaard.dk","12"
"Algreen & Skov Aps","1a1460ac-d78d-ea11-b2f4-0050568635ef","13045","https://algreenogskov.dk/","algreenogskov.dk","11"
"JT Biler & Auto-Sørensen Køge","2b304136-fdca-df11-9e98-0025b3e6b7d8","5528","https://www.jtbiler.dk/","jtbiler.dk","11"
"MAX DUE A/S - Slagelse","7f2d5a60-c084-4073-b732-0c0da39582eb","20936","https://maxdue.dk/","maxdue.dk","11"
"Thye Biler A/S","b75ba802-5fdc-e111-a5b6-d8d385a4b8b6","10972","http://www.thyebiler.dk/","thyebiler.dk","11"
"SSH Biler","79455020-ffa8-e711-a987-0050568635ef","12196","https://www.sshbiler.dk/","sshbiler.dk","11"
"Volkswagen Glostrup – en del af Semler Mobility","23b2502a-fdca-df11-9e98-0025b3e6b7d8","1380","https://www.semlermobility.dk/find-bil/?utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=vw-glostrup","semlermobility.dk","11"
"Bin2Bil A/S Slagelse","d482c437-0b83-ea11-b2f4-0050568635ef","13030","https://www.bin2bil.dk/","bin2bil.dk","11"
"Damtop Biler ApS","da72b41f-1be1-e911-bbee-0050568635ef","12854","http://www.damtopbiler.dk/","damtopbiler.dk","11"
"S-A Biler","3a9bd35f-c1a9-ec11-9050-0050568649c9","14687","https://www.sa-biler.dk/","sa-biler.dk","11"
"Strandvejens Auto","9b73ef83-fdca-df11-9e98-0025b3e6b7d8","6418","http://www.strandvejensauto.dk/","strandvejensauto.dk","11"
"Ejner Hessel A/S - Viby","c222d81a-6857-40df-9353-4c21e2a26d64","20963","https://www.hessel.dk/","hessel.dk","11"
"Next Mobility Ribe","2ae878af-ffca-df11-9e98-0025b3e6b7d8","2236","https://next-mobility.dk/","next-mobility.dk","11"
"Jan Nygaard A/S - Birkerød","9131f580-6407-42ea-b68e-5cc20851db42","20958","https://www.jan-nygaard.dk","jan-nygaard.dk","11"
"Carepoint Leasing","9b3106e1-1a40-e011-b84c-d8d385a4b8b6","10024","https://carepoint-horsens.dk/","carepoint-horsens.dk","11"
"Andersen Biler - Rødovre","1efd8d1d-ce76-e311-9f03-0050568635ef","11001","https://www.andersenbiler.dk/","andersenbiler.dk","11"
"Bilgården Hostrup A/S","87f14830-fdca-df11-9e98-0025b3e6b7d8","2996","https://www.bilgaardenhostrup.dk/","bilgaardenhostrup.dk","11"
"Semler Mobility Ringsted","17775ff0-f8d8-df11-a986-0025b3e6b7d8","1585","https://www.semlermobility.dk/find-bil/?utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=autohuset-ringsted%20a%2Fs","semlermobility.dk","10"
"Max Garage ApS","f18b4c9e-1f39-ea11-b2f4-0050568635ef","12956","https://www.maxgarage.dk/","maxgarage.dk","10"
"Rodis Autocenter","7f274059-a7a3-e011-af35-d8d385a4b8b6","10154","http://www.rodis-autocenter.dk/bilsalg/","rodis-autocenter.dk","10"
"Andersen Biler A/S - Nissan København","ef5dc278-4679-e411-b029-0050568635ef","11263","https://www.andersenbiler.dk/","andersenbiler.dk","10"
"Via Biler A/S - Amager","81cc72e9-fdca-df11-9e98-0025b3e6b7d8","1040","https://www.viabiler.dk/","viabiler.dk","10"
"P. Christensen A/S","24314136-fdca-df11-9e98-0025b3e6b7d8","1312","https://pchristensenbrugtebiler.dk/","pchristensenbrugtebiler.dk","10"
"Bøje & Brøchner a/s","bdb1502a-fdca-df11-9e98-0025b3e6b7d8","2356","https://www.bbvejle.dk","bbvejle.dk","10"
"Autocentralen Horsens","0c2471b5-ffca-df11-9e98-0025b3e6b7d8","2303","https://www.autocentralen.com/","autocentralen.com","10"
"Lund Bilhandel Aps","8c9b5347-3986-491d-99b6-8572d77d3216","20640","https://www.Lundbilhandel.dk","lundbilhandel.dk","10"
"Volkswagen Køge - en del af Semler Mobility","0d11cba1-fdca-df11-9e98-0025b3e6b7d8","1614","https://www.semlermobility.dk/find-bil/?brands=volkswagen&utm_medium=affiliate&utm_source=shareasale&utm_campaign=produkt&utm_content=vw-køge","semlermobility.dk","10"
"Ejner Hessel Roskilde","0e02ddd0-d3c3-e311-b886-0050568635ef","11100",,"","10"
"Indkilde Auto A/S","5953076c-fdca-df11-9e98-0025b3e6b7d8","2943","https://www.indkilde.dk/","indkilde.dk","10"
"Andersen & Martini A/S - Tåstrup","c9b1502a-fdca-df11-9e98-0025b3e6b7d8","1306","https://www.am.dk/","am.dk","10"
"Au2vest Bilsalg","92c81eb3-764d-e111-b17c-d8d385a4b8b6","10550","https://www.au2vest.dk/","au2vest.dk","9"
"Varming Biler","bc5d6d07-feca-df11-9e98-0025b3e6b7d8","8396","https://www.varmingbiler.dk/","varmingbiler.dk","9"
"Bilhuset Taastrup A/S","83314136-fdca-df11-9e98-0025b3e6b7d8","1386","https://www.bilhusettaastrup.dk/","bilhusettaastrup.dk","9"
